291.351	291.517	291.662	291.795	
289.586	289.682	289.782	289.884	
289.224	289.267	289.33	289.403	
289.251	289.272	289.32	289.381	
289.387	289.401	289.445	289.506	
289.552	289.565	289.612	289.677	
289.725	289.739	289.791	289.864	
289.899	289.917	289.975	290.055	
290.074	290.094	290.159	290.249	
290.249	290.272	290.344	290.443	
290.422	290.449	290.528	290.637	
290.595	290.625	290.712	290.831	
290.767	290.801	290.896	291.025	
290.939	290.975	291.079	291.219	
291.109	291.149	291.261	291.412	
291.278	291.322	291.443	291.606	
291.446	291.494	291.624	291.798	
291.612	291.664	291.803	291.99	
291.777	291.834	291.982	292.182	
291.941	292.002	292.16	292.372	
292.104	292.169	292.337	292.562	
292.264	292.334	292.512	292.75	
292.423	292.497	292.686	292.938	
292.581	292.659	292.859	293.125	
292.737	292.82	293.03	293.31	
292.89	292.978	293.199	293.494	
293.042	293.135	293.367	293.676	
293.192	293.29	293.533	293.857	
293.34	293.443	293.698	294.037	
293.486	293.594	293.86	294.215	
293.629	293.742	294.021	294.391	
293.77	293.889	294.179	294.565	
293.909	294.033	294.336	294.737	
294.046	294.175	294.49	294.908	
294.18	294.315	294.642	295.076	
294.312	294.452	294.791	295.243	
294.441	294.586	294.939	295.407	
294.567	294.718	295.084	295.568	
294.691	294.848	295.226	295.728	
294.812	294.975	295.366	295.885	
294.93	295.099	295.503	296.04	
295.046	295.22	295.638	296.192	
295.158	295.338	295.77	296.341	
295.268	295.454	295.899	296.488	
295.375	295.566	296.025	296.632	
295.478	295.676	296.148	296.774	
295.579	295.783	296.269	296.912	
295.676	295.886	296.386	297.048	
295.77	295.986	296.5	297.181	
295.861	296.084	296.612	297.31	
295.949	296.178	296.72	297.437	
296.034	296.268	296.825	297.561	
296.115	296.356	296.926	297.681	
296.193	296.44	297.025	297.798	
296.267	296.521	297.12	297.912	
296.338	296.598	297.212	298.023	
296.406	296.672	297.3	298.131	
296.47	296.742	297.385	298.235	
296.531	296.809	297.467	298.336	
296.588	296.873	297.545	298.433	
296.641	296.933	297.619	298.527	
296.691	296.989	297.69	298.617	
296.738	297.042	297.758	298.704	
296.78	297.091	297.822	298.787	
296.82	297.137	297.882	298.867	
296.855	297.179	297.939	298.943	
296.887	297.217	297.992	299.015	
296.915	297.252	298.041	299.084	
296.94	297.283	298.087	299.149	
296.96	297.31	298.129	299.211	
296.978	297.334	298.167	299.269	
296.991	297.353	298.202	299.323	
297.001	297.37	298.233	299.373	
297.007	297.382	298.26	299.419	
297.009	297.391	298.283	299.462	
297.008	297.396	298.303	299.501	
297.003	297.397	298.319	299.537	
296.994	297.395	298.331	299.568	
296.981	297.389	298.34	299.596	
296.965	297.379	298.344	299.62	
296.945	297.365	298.345	299.64	
296.922	297.348	298.343	299.656	
296.895	297.327	298.336	299.669	
296.864	297.303	298.326	299.677	
296.829	297.275	298.312	299.682	
296.791	297.243	298.295	299.684	
296.75	297.207	298.274	299.681	
296.705	297.169	298.249	299.675	
296.656	297.126	298.22	299.665	
296.604	297.08	298.188	299.651	
296.548	297.03	298.153	299.634	
296.489	296.977	298.113	299.613	
296.427	296.921	298.071	299.588	
296.361	296.861	298.024	299.56	
296.291	296.797	297.974	299.528	
296.219	296.731	297.921	299.493	
296.143	296.661	297.865	299.454	
296.063	296.587	297.804	299.411	
295.981	296.51	297.741	299.365	
295.895	296.431	297.674	299.315	
295.807	296.347	297.604	299.262	
295.715	296.261	297.531	299.206	
295.62	296.172	297.454	299.146	
295.522	296.079	297.374	299.083	
295.421	295.984	297.291	299.016	
295.317	295.886	297.205	298.947	
295.21	295.784	297.116	298.874	
295.101	295.68	297.024	298.797	
294.989	295.573	296.929	298.718	
294.874	295.463	296.831	298.635	
294.756	295.35	296.73	298.55	
294.636	295.235	296.626	298.461	
294.513	295.117	296.519	298.37	
294.387	294.997	296.41	298.275	
294.259	294.874	296.298	298.177	
294.129	294.748	296.183	298.077	
293.997	294.62	296.066	297.974	
293.862	294.49	295.947	297.868	
293.725	294.358	295.824	297.76	
293.586	294.223	295.7	297.648	
293.444	294.086	295.573	297.534	
293.301	293.947	295.444	297.418	
293.156	293.806	295.312	297.299	
293.009	293.663	295.178	297.178	
292.86	293.518	295.043	297.054	
292.709	293.371	294.905	296.928	
292.557	293.223	294.765	296.799	
292.403	293.073	294.623	296.669	
292.248	292.921	294.48	296.536	
292.091	292.767	294.334	296.401	
291.932	292.612	294.187	296.264	
291.772	292.456	294.038	296.125	
291.611	292.298	293.887	295.984	
